GateV	--
17.7999992370605	5.82752022637578E-7
17.8999996185303	5.91221407830744E-7
18	5.97265625401633E-7
18.1000003814697	6.0196765616638E-7
18.2000007629395	6.08600430496153E-7
18.2999992370605	6.12846122294286E-7
18.3999996185303	6.19306661064911E-7
18.5	6.26300050043938E-7
18.6000003814697	6.3070490341488E-7
18.7000007629395	6.43045552806143E-7
18.7999992370605	6.44699753138411E-7
18.8999996185303	6.46271928417264E-7
19	6.4454565062988E-7
19.1000003814697	6.51056211609102E-7
19.2000007629395	6.54163670787966E-7
19.2999992370605	6.61462877360464E-7
19.3999996185303	6.6765392148227E-7
19.5	6.72397618473042E-7
19.6000003814697	6.79145216508914E-7
19.7000007629395	6.8012991505384E-7
19.7999992370605	6.80363712035614E-7
19.8999996185303	6.85364796026988E-7
20	6.89913690621324E-7
19.5	6.93627271175501E-7
19.3999996185303	6.89877140302997E-7
19.2999992370605	6.87056626702542E-7
19.2000007629395	6.85319548665575E-7
19.1000003814697	6.76277124966873E-7
19	6.71684460940014E-7
18.8999996185303	6.67052177050209E-7
18.7999992370605	6.64060678445821E-7
18.7000007629395	6.60646662709041E-7
18.6000003814697	6.56482143313042E-7
18.5	6.51455309252924E-7
18.3999996185303	6.46683815830329E-7
18.2999992370605	6.43082330498146E-7
18.2000007629395	6.37980690498807E-7
18.1000003814697	6.28934515134461E-7
18	6.23863627424726E-7
17.8999996185303	6.19831723724928E-7
17.7999992370605	6.18862770807027E-7
17.7000007629395	6.14415171185101E-7
17.6000003814697	6.10402480560879E-7
17.5	6.03153580414073E-7
17.3999996185303	6.00122234573064E-7
17.2999992370605	5.9704024124585E-7
17.2000007629395	5.93876563925733E-7
17.1000003814697	5.89551575558289E-7
17	5.81876065552933E-7
16.8999996185303	5.7889781146514E-7
16.7999992370605	5.78109563775797E-7
16.7000007629395	5.75382216538856E-7
16.6000003814697	5.68690552427142E-7
16.5	5.67213533031463E-7
16.3999996185303	5.64887670861935E-7
16.2999992370605	5.59891418561165E-7
16.2000007629395	5.539847052205E-7
16.1000003814697	5.50192680748296E-7
16	5.45820171282685E-7
15.8999996185303	5.42281611615181E-7
15.8000001907349	5.36897402980685E-7
15.6999998092651	5.33309730599285E-7
15.6000003814697	5.29282260686159E-7
15.5	5.26326061844884E-7
15.3999996185303	5.21068443504191E-7
15.3000001907349	5.16962984420388E-7
15.1999998092651	5.14982559707278E-7
15.1000003814697	5.09743983911903E-7
15	5.06553362811246E-7
14.8999996185303	5.04960667058185E-7
14.8000001907349	5.01994065871259E-7
14.6999998092651	4.97430676205113E-7
14.6000003814697	4.90966897359613E-7
14.5	4.89283706883725E-7
14.3999996185303	4.85146074424847E-7
14.3000001907349	4.81287088405224E-7
14.1999998092651	4.7721215423735E-7
14.1000003814697	4.71361943255033E-7
14	4.61397490880699E-7
13.8999996185303	4.57299108802545E-7
13.8000001907349	4.52479838486397E-7
13.6999998092651	4.4296615442363E-7
13.6000003814697	4.41201819967318E-7
13.5	4.36615238186278E-7
13.3999996185303	4.33202018257361E-7
13.3000001907349	4.29051141281889E-7
13.1999998092651	4.24429771328505E-7
13.1000003814697	4.19003896467984E-7
13	4.17151966303209E-7
12.8999996185303	4.11765455510249E-7
12.8000001907349	4.07653402589858E-7
12.6999998092651	4.02980617764115E-7
12.6000003814697	4.00149815504847E-7
12.5	3.96917556599874E-7
12.3999996185303	3.93494872241718E-7
12.3000001907349	3.89126256550298E-7
12.1999998092651	3.81661806159173E-7
12.1000003814697	3.75593799617491E-7
12	3.71655801245652E-7
11.8999996185303	3.69722414461648E-7
11.8000001907349	3.69610461348202E-7
11.6999998092651	3.62708561851832E-7
11.6000003814697	3.54110483158365E-7
11.5	3.50232880919066E-7
11.3999996185303	3.43026641758115E-7
11.3000001907349	3.39271423399623E-7
11.1999998092651	3.3658258757896E-7
11.1000003814697	3.31602677761111E-7
11	3.28522787640395E-7
10.8999996185303	3.27025077240251E-7
10.8000001907349	3.22957049547767E-7
10.6999998092651	3.1901296893011E-7
10.6000003814697	3.13161990561639E-7
10.5	3.08466184151257E-7
10.3999996185303	3.04357143932066E-7
10.3000001907349	3.02966867593568E-7
10.1999998092651	2.99367030720532E-7
10.1000003814697	2.96618082984423E-7
10	2.9298817594281E-7
9.89999961853027	2.88281711391392E-7
9.80000019073486	2.83891893104737E-7
9.69999980926514	2.80331647672938E-7
9.60000038146973	2.76487668315895E-7
9.5	2.73513705906225E-7
